Year,State,Value
2018,Tennessee,59.1
2019,Tennessee,59.8
2020,Tennessee,59.3
2021,Tennessee,59
2022,Tennessee,58.5
2023,Tennessee,60
2024,Tennessee,60.6
2025,Tennessee,59.6
2000,Virginia,54.9
2001,Virginia,55.8
2002,Virginia,56.6
2003,Virginia,55
2004,Virginia,55.9
2005,Virginia,55.9
2006,Virginia,56.6
2007,Virginia,56.8
2008,Virginia,55.7
2009,Virginia,55.2
2010,Virginia,55.9
2011,Virginia,57
2012,Virginia,57.6
2013,Virginia,55.1
2014,Virginia,54.4
2015,Virginia,56.5
2016,Virginia,57.1
2017,Virginia,57.3
2018,Virginia,56.6
2019,Virginia,57.5
2020,Virginia,57.4
2021,Virginia,57.1
2022,Virginia,56.2
2023,Virginia,57.5
2024,Virginia,58.1
2025,Virginia,56.5
